"調査年","地域","/項目","A1101_総人口【人】"
"1985年度","石川県 羽咋市","","28789"
"1985年度","石川県 かほく市","","34628"
"1985年度","石川県 白山市","","92331"
"1985年度","石川県 能美市","","39061"
"1985年度","石川県 野々市市","","36080"
"1985年度","石川県 川北町","","4271"
"1985年度","石川県 津幡町","","24591"
"1985年度","石川県 内灘町","","23032"
"1985年度","石川県 志賀町","","29828"
"1985年度","石川県 宝達志水町","","17306"
"1985年度","石川県 中能登町","","22058"
"1985年度","石川県 穴水町","","13565"
"1985年度","石川県 能登町","","30328"
"1980年度","石川県 金沢市","","417684"
"1980年度","石川県 七尾市","","69945"
"1980年度","石川県 小松市","","104329"
"1980年度","石川県 輪島市","","45115"
"1980年度","石川県 珠洲市","","27351"
"1980年度","石川県 加賀市","","77335"
"1980年度","石川県 羽咋市","","28784"
"1980年度","石川県 かほく市","","34106"
"1980年度","石川県 白山市","","81286"
"1980年度","石川県 能美市","","37253"
"1980年度","石川県 野々市市","","31817"
"1980年度","石川県 川北町","","4256"
"1980年度","石川県 津幡町","","23682"
"1980年度","石川県 内灘町","","20814"
"1980年度","石川県 志賀町","","30636"
"1980年度","石川県 宝達志水町","","17115"
"1980年度","石川県 中能登町","","22475"
"1980年度","石川県 穴水町","","14044"
"1980年度","石川県 能登町","","31277"
